greenwich_date,jd_ephem,observer,clamp,limb,ra_h,ra_m,ra_s,ra_o_minus_c,ra_limb_corr,limb_side,dec_sign,dec_deg,dec_min,dec_sec,dec_o_minus_c,dec_limb_corr
1968 Dec. 10.38,40200.88715,Cr,W,2,9,25,54.471,+1.253,-.014,,+,19,5,,,
1968 Dec. 12.44,40202.94850,To,W,2,11,2,22.630,+1.161,+.008,S,+,8,16,45.10,-10.31,+1.41
1968 Dec. 28.00,40218.50198,To,,1,1,20,42.742,+1.228,-.029.,,+,10,7,,,
1968 Dec. 29.03,40219.53139,Gv,E,1,2,7,07.746,+1.235,-.008,S,+,15,32,08.61,6.95,-0.19
1968 Dec. 30.06,40220.56194,Gv,E,1,2,55,10.961,+1.321,-.035,,+,20,14,20.66,+6.54,+1.20
1969 Jan. 2.16,40223.66317,Ga,,,,,,,,N,,,,,+0.09,+0.28
1969 Jan. 3.19,40224.69910,To,E,1,6,29,00.622,+1.402,-.157,N,+,28,15,59.75,-1.78,-0.54
1969 Jan. 4.23,40225.73478,Gv,E,2,7,24,28.079,+1.380,-.018,N,+,26,53,54.00,-2.16,-0.14
1969 Jan. 5.26,40226.76937,Du,,,8,8,18,,,N,+,24,11,38.18,-5.19,.-0.06
1969 Jan. 6.30,40227.80240,,,,9,9,09,,,,+,20,19,22.54,-6.49,+0.03
1969 Jan. 27.00,40248.50759,Rh,E,1,3,27,05.950,+1.289,-.075,S,+,23,1,44.79,5.21,+0.14
1969 Jan. 28.04,40249.54099,,E,1,4,19,15.997,+1399,-.049,,+,26,8,,,
1969 Feb. 5.30,40257.80988,To,E,2,11,19,04.285,+1.223,+.001,,+,5,37,16.74,-9.43,+2.27
1969 Feb. 6.33,40258.83976,Cr,,2,12,6,09.557,+1.177,+.003,S,,,,,-9.21,+2.31
1969 Feb. 10.47,40262.97505,,E,2,15,37,16.941,+1.717,-.023,S,-,23,51,26.93,-7.62,+0.88
1969 Feb. 24.98,40277.48720,Rh,W,1,4,51,59.309,+1.418,-.073,,+,27,36,,,
1969 Feb. 26.02,40278.52280,Rh,W,1,5,47,20.504,+1.387,-.173,N,+,28,38,24.71,+0.62,+0.09
1969 Feb. 28.09,40280.59422,Rh,W,1,7,38,21.344,+1.458,+.050,N,+,26,27,44.82,-4.83,-0.06
1969 Mar. 3.19,40283.69330,Ga,W,1,10,13,14.756,+1.266,+.011,N,+,13,50,05.72,-9.82,-0.79
1969 Mar. 4.22,40284.72404,KI,W,2,11,1,34.706,+1.196,-.006,N,+,7,53,02.15,-10.85,-0.75
1969 Mar. 5.25,40285.75446,Cr,=,,11,49,26.049,+1.213,-.001,,+,1,28,12.00,-10.18,+2.28
1969 Mar. 10.42,40290.92892,Rh,W,2,16,21,04.209,+1.730,-.045,S,-,26,26,52.56,-6.35,+0.92
1969 Mar. 28.03,40308.53930,Cs,W,1,8,9,26.523,+1.404,+.022,N,+,24,51,09.04,-6.15,-0.35
1969 Mar. 29.07,40309.57261,Cr,W,1,9,1,29.159,+1.298,+.022,N,+,21,4,24.13,-7.31,-0.47
1969 Mar. 31.13,40311.63565,,W,1,10,40,23.807,+1.238,-.023,N,+,10,35,32.57,-10.25,-0.70
1969 Apr. 1.16,40312.66629,Cr,W,1,11,28,34.682,+1.220,-.021,N,+,4,18,46.09,-10.71,-1.04
1969 Apr. 2.19,40313.69727,,W,1,12,17,15.100,+1.348,-.013 19,N,-,2,19,40.95,-11.68,-0.79
1969 Apr. 7.38,40318.88378,C5,W,2,17,6,16.968,+1.827,-.067,,-,28,1,,,
1969 Apr. 8.42,40319.92800,Rh,W,2,18,14,04.696,+1.915,-.012,S,-,28,39,13.88,0.69,+0.85
1969 May. 1.17,40342.67217,Gv,E,1,13,35,21.076,+1.504,+.009,N,-,12,27,13.49,-10.18,-0.05
1969 May. 2.20,40343.70850,Ho,,1,14,31,45.333,+1.706,+.082,,-,18,33,11.77,-9.81,+1.30
1969 May. 3.24,40344.74837,K1,E,2,15,33,15.951,+1.739,-.011,,-,23,37,40.72,-7.84,+1.22
1969 May. 4.29,40345.79166,Cs,E,2,16,39,43.017,+1.848,-.011,S,-,27,6,53.80,-5.63,+0.82
1969 May. 5.33,40346.83708,Cr,E,2,17,49,15.114,+1.898,-.008,S,-,28,33,17.70,-1.32,+0.69
1969 May. 7.42,40348.92537,Gv,,2,20,4,36.615,+1.686,-.027,N,-,24,57,35.48,+5.51,+0.71
1969 May. 26.01,40367.51828,Cs,W,1,11,31,42.002,+1.284,+.016,N,+,3,36,52.70,-11.10,-1.04
1969 May. 27.04,40368.54842,Ga,W,1,12,19,09.471,+1.275,+.021,N,-,2,48,41.27,-11.40,-0.83
1969 May. 28.08,40369.58016,Cr,W,1,13,8,56.690,+1.378,+.010,N,-,9,20,32.14,-11.09,+0.04
1969 May. 29.11,40370.61458,Cs,,1,14,2,35.168,+1.501,+.043,N,,,,,9.71,-0.17
1969 May. 30.15,40371.65263,KI,W,1,15,1,28.179,+1.580,+.034,,-,21,14,,,
1969 May. 31.19,40372.69478,Gv,W,1,16,6,16.736,+1.815,+.058,S,-,25,35,22.38,-5.39,-0.02
1969 Jun. 1.24,40373.74041,Ho,W,2,17,16,06.369,+1.869,-.069,,-,28,3,,,
1969 Jun. 26.05,40398.55831,Rh,,1,14,31,43.882,+1.601,+.062,N,-,18,47,04.79,-8.05,+0.71
1969 Jun. 27.09,40399.59761,Rh,,1,15,32,25.664,+1.771,+.032,N,-,23,41,11.78,-6.43,+0.74
1969 Jun. 29.18,40401.68790,Ho,,1,17,50,40.681,+1.887,-.168,,-,28,26,,,
1969 Jun. 30.23,40402.73527,Ga,E,2,19,3,01.481,+1.927,-.052,S,-,27,24,29.00,+4.30,+0.85
1969 Jul. 1.28,40403.78051,KI,E,2,20,12,17.404,+1.738,-.046,S,-,24,9,00.26,+6.41,+1.35
1969 Jul. 2.32,40404.82194,Ho,E,2,21,16,02.951,+1.762,-.025,N,-,19,9,54.70,+10.13,+0.37
1969 Jul. 4.39,40406.89341,Cr,E,2,23,7,07.924,+1.402,-.032,N,-,6,28,57.97,+10.18,+0.17
1969 Jul. 27.13,40429.63585,Ga,W,1,18,25,55.235,+2.018,-.174,S,-,28,17,45.38,+1.94,+1.27
