greenwich_date,jd_ephem,observer,clamp,ra_h,ra_m,ra_s,ra_o_minus_c,dec_sign,dec_deg,dec_min,dec_sec,dec_o_minus_c,distance_au
1968 Jan. 22.72,39878.22206,KI,E,0,20,16,,-,19,46,26.60,+1.40,0.984188
1968 Feb. 5.72,39892.22382,Du,W,21,13,46.209,+0.098,-,16,3,01.07,+0.59,0.985986
1968 Feb. 6.72,39893.22388,Cr,W,21,17,47.452,+0.050,-,15,44,45.90,+0.79,0.986140
1968 Feb. 12.72,39899.22401,KI,W,21,41,38.209,+0.079,-,13,49,,,0.987167
1968 Feb. 14.72,39901.22398,KI,W,21,49,28.838,+0.085,-,13,9,,,0.987550
1968 Feb. 16.72,39903.22391,Du,W,21,57,16.482,+0.077,-,12,28,,,0.987952
1968 Feb. 19.72,39906.22376,Ga,W,22,8,52.651,+0.039,-,11,25,,,0.988592
1968 Feb. 23.72,39910.22345,To,,22,24,11.857,+0.125,-,9,59,,,0.989498
1968 Feb. 25.72,39912.22325,Rh,W,22,31,47.671,+0.065,-,9,14,,,0.989965
1968 Feb. 27.72,39914.22302,To,W,0,22,39,,-,8,30,04.83,+1.97,0.990441
1968 Mar. 4.72,39920.22220,Du,E,23,1,49.094,+0.075,-,6,12,57.76,+0.95,0.991904
1968 Mar. 5.72,39921.22204,KI,E,23,5,32.030,+0.054,-,5,49,46.48,+0.78,0.992153
1968 Mar. 7.72,39923.22171,Rh,E,23,12,56.667,+0.083,-,5,3,09.12,+1.74,0.992658
1968 Mar. 8.72,39924.22154,To,E,23,16,38.304,+0.020,-,4,39,45.24,+1.52,0.992913
1968 Mar. 11.72,39927.22100,KI,E,23,27,41.235,+0.062,-,3,29,14.80,+0.32,0.993695
1968 Mar. 14.72,39930.22043,Cr,E,23,38,41.284,+0.072,-,2,18,,,0.994502
1968 Mar. 15.72,39931.22023,KI,E,23,42,20.736,+0.036,-,1,54,40.49,+1.42,0.994778
1968 Mar. 20.71,39936.21921,Du,E,0,0,35.447,+0.057,+,0,3,50.71,+1.23,0.996195
1968 Mar. 29.71,39945.21733,Ga,W,,,,,+,3,35,53.18,+0.08,0.998798
1968 Mar. 30.71,39946.21712,Rh,W,0,0,36,,+,3,59,11.78,+0.26,0.999084
1968 Apr. 9.71,39956.21511,Cr,W,1,13,30.876,+0.090,+,7,47,,,1.001907
1968 Apr. 12.71,39959.21455,KI,W,1,24,32.331,+0.059,+,8,53,15.00,+0.50,1.002752
1968 Apr. 13.71,39960.21437,Rh,,0,1,28,,+,9,14,58.59,+0.21,1.003035
1968 Apr. 16.71,39963.21386,Ga,W,0,39,18.751,-0.004,+,10,19,15.09,+1.03,1.003887
1968 Apr. 17.71,39964.21370,Ga,W,1,43,01.358,+0.041,+,10,40,20.11,+0.57,1.004171
1968 Apr. 18.71,39965.21354,KI,W,1,46,44.374,+0.092,+,11,1,14.64,+0.06,1.004454
1968 Apr. 19.71,39966.21339,Cr,W,1,50,27.738,+0.072,+,11,22,00.11,+1.19,1.004736
1968 Apr. 23.71,39970.21284,Cr,W,2,5,25.726,+0.061,+,12,43,03.78,+1.74,1.005848
1968 Apr. 26.71,39973.21248,KI,W,2,16,44.234,+0.076,+,13,41,40.57,+0.91,1.006654
1968 May. 3.71,39980.21184,Du,E,2,43,25.232,-0.035,+,15,50,,,1.008422
1968 May. 6.71,39983.21166,Ga,E,,,,+0.001,+,16,41,,,1.009132
1968 May. 7.71,39984.21162,To,E,2,58,51.904,-0.027,+,16,58,,,1.009364
1968 May. 17.71,39994.21151,KI,E,3,38,07.885,+0.038,+,19,27,13.60,-0.12,1.011580
1968 May. 29.71,40006.21222,Du,W,4,26,28.659,+0.058,+,21,42,23.51,+0.48,1.013825
1968 Jun. 3.71,40011.21275,Du,W,4,46,57.167,+0.110,,,,,+0.47,1.014552
